               nPars     AIC delta AICwt cumltvWt
fit_null          11 2582.91 0.000 0.158     0.16
fit_Fcon_PA       12 2583.01 0.094 0.151     0.31
fit_Fmix_PA       12 2583.14 0.225 0.141     0.45
fit_WVF_dist      12 2584.13 1.218 0.086     0.54
fit_Fdec_PA       12 2584.17 1.253 0.084     0.62
fit_imperv        12 2584.59 1.682 0.068     0.69
fit_POP_mean      12 2584.68 1.769 0.065     0.75
fit_WVF_PA        12 2584.72 1.811 0.064     0.82
fit_POP_median    12 2584.81 1.897 0.061     0.88
fit_hum           12 2584.82 1.909 0.061     0.94
fit_LFT_dist      12 2584.85 1.938 0.060     1.00
