               nPars     AIC delta AICwt cumltvWt
fit_imperv        12 2531.48 0.000 0.294     0.29
fit_WVF_PA        12 2531.54 0.051 0.286     0.58
fit_Fcon_PA       12 2534.09 2.604 0.080     0.66
fit_null          11 2534.22 2.732 0.075     0.73
fit_LFT_dist      12 2534.54 3.060 0.064     0.80
fit_Fmix_PA       12 2535.25 3.767 0.045     0.84
fit_Fdec_PA       12 2535.76 4.279 0.035     0.88
fit_hum           12 2535.93 4.441 0.032     0.91
fit_WVF_dist      12 2535.98 4.494 0.031     0.94
fit_POP_mean      12 2536.05 4.569 0.030     0.97
fit_POP_median    12 2536.05 4.569 0.030     1.00
