               nPars     AIC delta  AICwt cumltvWt
fit_hum           12 2238.72  0.00 0.3231     0.32
fit_WVF_dist      12 2239.25  0.53 0.2483     0.57
fit_imperv        12 2239.71  0.99 0.1971     0.77
fit_Fdec_PA       12 2242.08  3.36 0.0603     0.83
fit_WVF_PA        12 2242.18  3.46 0.0574     0.89
fit_Fcon_PA       12 2242.62  3.90 0.0460     0.93
fit_null          11 2243.90  5.18 0.0242     0.96
fit_LFT_dist      12 2244.88  6.16 0.0148     0.97
fit_Fmix_PA       12 2245.51  6.79 0.0109     0.98
fit_POP_median    12 2245.88  7.16 0.0090     0.99
fit_POP_mean      12 2245.90  7.18 0.0089     1.00
