               nPars     AIC delta  AICwt cumltvWt
fit_Fcon_PA       12 2571.19  0.00 0.9696     0.97
fit_POP_median    12 2580.33  9.14 0.0100     0.98
fit_POP_mean      12 2581.51 10.33 0.0056     0.99
fit_null          11 2582.91 11.73 0.0028     0.99
fit_LFT_dist      12 2583.14 11.96 0.0025     0.99
fit_Fmix_PA       12 2583.15 11.97 0.0024     0.99
fit_Fdec_PA       12 2583.99 12.81 0.0016     0.99
fit_WVF_PA        12 2584.16 12.97 0.0015     1.00
fit_hum           12 2584.17 12.98 0.0015     1.00
fit_imperv        12 2584.18 12.99 0.0015     1.00
fit_WVF_dist      12 2584.66 13.47 0.0012     1.00
