               nPars     AIC delta  AICwt cumltvWt
fit_Fcon_PA       12 2518.08  0.00 0.9527     0.95
fit_POP_median    12 2525.67  7.59 0.0214     0.97
fit_POP_mean      12 2528.67 10.59 0.0048     0.98
fit_Fmix_PA       12 2528.77 10.69 0.0045     0.98
fit_LFT_dist      12 2529.13 11.05 0.0038     0.99
fit_null          11 2529.65 11.57 0.0029     0.99
fit_WVF_PA        12 2529.79 11.71 0.0027     0.99
fit_hum           12 2529.95 11.87 0.0025     1.00
fit_Fdec_PA       12 2530.71 12.63 0.0017     1.00
fit_WVF_dist      12 2531.07 12.99 0.0014     1.00
fit_imperv        12 2531.10 13.01 0.0014     1.00
