               nPars     AIC delta AICwt cumltvWt
fit_LFT_dist      12 1352.44 0.000 0.189     0.19
fit_WVF_dist      12 1352.46 0.016 0.188     0.38
fit_hum           12 1353.11 0.674 0.135     0.51
fit_Fcon_PA       12 1353.30 0.865 0.123     0.64
fit_POP_mean      12 1353.94 1.502 0.089     0.72
fit_POP_median    12 1353.94 1.502 0.089     0.81
fit_null          11 1354.63 2.190 0.063     0.88
fit_Fdec_PA       12 1355.04 2.600 0.052     0.93
fit_WVF_PA        12 1356.58 4.140 0.024     0.95
fit_built         12 1356.63 4.185 0.023     0.98
fit_Fmix_PA       12 1356.63 4.187 0.023     1.00
