               nPars     AIC delta  AICwt cumltvWt
fit_Fdec_PA       12 1348.18  0.00 0.6019     0.60
fit_LFT_dist      12 1352.44  4.26 0.0716     0.67
fit_WVF_dist      12 1352.46  4.27 0.0710     0.74
fit_Fcon_PA       12 1352.54  4.36 0.0681     0.81
fit_Fmix_PA       12 1352.84  4.66 0.0587     0.87
fit_hum           12 1353.11  4.93 0.0511     0.92
fit_null          11 1354.63  6.45 0.0239     0.95
fit_built         12 1354.85  6.67 0.0214     0.97
fit_WVF_PA        12 1355.91  7.73 0.0126     0.98
fit_POP_mean      12 1356.30  8.11 0.0104     0.99
fit_POP_median    12 1356.52  8.34 0.0093     1.00
