                nPars     AIC delta  AICwt cumltvWt
fit_WVF            12 1121.83 0.000 0.2226     0.22
fit_DEM_median     12 1121.89 0.066 0.2153     0.44
fit_DEM_mean       12 1122.32 0.493 0.1739     0.61
fit_NDVI_mean      12 1123.06 1.232 0.1202     0.73
fit_NDVI_median    12 1123.48 1.657 0.0972     0.83
fit_WVF_PA         12 1124.27 2.439 0.0658     0.90
fit_FD_PA          12 1126.25 4.420 0.0244     0.92
fit_WV             12 1126.59 4.766 0.0205     0.94
fit_hum            12 1127.58 5.750 0.0126     0.95
fit_dog            12 1128.64 6.816 0.0074     0.96
fit_LFT            12 1129.35 7.527 0.0052     0.97
fit_MV_PA          12 1129.56 7.729 0.0047     0.97
fit_null           11 1129.56 7.729 0.0047     0.97
fit_H2O            12 1130.03 8.203 0.0037     0.98
fit_veg            12 1130.23 8.400 0.0033     0.98
fit_cor            12 1130.23 8.402 0.0033     0.98
fit_MV             12 1130.41 8.578 0.0031     0.99
fit_FM_PA          12 1130.53 8.698 0.0029     0.99
fit_POP_median     12 1131.26 9.435 0.0020     0.99
fit_POP_mean       12 1131.34 9.513 0.0019     0.99
fit_WVO_PA         12 1131.43 9.601 0.0018     1.00
fit_built          12 1131.44 9.609 0.0018     1.00
fit_WVO            12 1131.54 9.708 0.0017     1.00
