                nPars     AIC delta  AICwt cumltvWt
fit_WVF            12 1121.83  0.00 0.2105     0.21
fit_WVF_PA         12 1122.50  0.67 0.1506     0.36
fit_NDVI_mean      12 1122.55  0.72 0.1465     0.51
fit_DEM_median     12 1122.63  0.80 0.1413     0.65
fit_DEM_mean       12 1122.95  1.12 0.1203     0.77
fit_NDVI_median    12 1123.02  1.19 0.1161     0.89
fit_FD_PA          12 1125.44  3.61 0.0346     0.92
fit_WV             12 1126.59  4.77 0.0194     0.94
fit_hum            12 1127.58  5.75 0.0119     0.95
fit_dog            12 1128.64  6.82 0.0070     0.96
fit_LFT            12 1129.35  7.53 0.0049     0.96
fit_MV_PA          12 1129.42  7.59 0.0047     0.97
fit_null           11 1129.56  7.73 0.0044     0.97
fit_H2O            12 1130.03  8.20 0.0035     0.98
fit_veg            12 1130.23  8.40 0.0032     0.98
fit_cor            12 1130.23  8.40 0.0032     0.98
fit_FM_PA          12 1130.26  8.43 0.0031     0.99
fit_MV             12 1130.41  8.58 0.0029     0.99
fit_POP_mean       12 1130.77  8.94 0.0024     0.99
fit_WVO_PA         12 1130.95  9.13 0.0022     0.99
fit_FC_PA          12 1130.96  9.13 0.0022     0.99
fit_built          12 1131.24  9.42 0.0019     1.00
fit_POP_median     12 1131.47  9.64 0.0017     1.00
fit_WVO            12 1131.54  9.71 0.0016     1.00
